A1BG	A1bg
BBS9	Bbs9
BBX	Bbx
BCAM	Bcam
BCAN	Bcan
BCAP29	Bcap29
BCAP31	Bcap31
BCAR1	Bcar1
BCAR3	Bcar3
BCAS1	Bcas1
BCAS2	Bcas2
BCAS3	Bcas3
BCAT1	Bcat1
BCAT2	Bcat2
BCCIP	Bccip
BCDIN3D	Bcdin3d
BCHE	Bche
BCKDHA	Bckdha
BCKDHB	Bckdhb
BCKDK	Bckdk
BCL10	Bcl10
BCL11A	Bcl11a
BCL11B	Bcl11b
BCL2	Bcl2
BCL2L1	Bcl2l1
BCL2L10	Bcl2l10
BCL2L11	Bcl2l11
BCL2L12	Bcl2l12
BCL2L13	Bcl2l13
BCL2L14	Bcl2l14
BCL2L15	Bcl2l15
BCL2L2	Bcl2l2
BCL3	Bcl3
BCL6	Bcl6
BCL6B	Bcl6b
BCL7A	Bcl7a
BCL7B	Bcl7b
BCL7C	Bcl7c
BCL9	Bcl9
BCL9L	Bcl9l
BCLAF1	Bclaf1
BCMO1	Bcmo1
BCO2	Bco2
BCOR	Bcor
BCORL1	Bcorl1
BCR	Bcr
BCS1L	Bcs1l
BDH1	Bdh1
BDH2	Bdh2
BDKRB1	Bdkrb1
BDKRB2	Bdkrb2
BDNF	Bdnf
BDP1	Bdp1
BEAN1	Bean1
BECN1	Becn1
BEGAIN	Begain
BEND3	Bend3
BEND4	Bend4
BEND5	Bend5
BEND6	Bend6
BEND7	Bend7
BEST1	Best1
BEST2	Best2
BEST3	Best3
BET1	Bet1
BET1L	Bet1l
BFAR	Bfar
BFSP1	Bfsp1
BFSP2	Bfsp2
BGN	Bgn
BHLHA15	Bhlha15
BHLHA9	Bhlha9
BHLHB9	Bhlhb9
BHLHE22	Bhlhe22
BHLHE23	Bhlhe23
BHLHE40	Bhlhe40
BHLHE41	Bhlhe41
BHMT2	Bhmt2
BICC1	Bicc1
BICD1	Bicd1
BICD2	Bicd2
BID	Bid
BIK	Bik
BIN1	Bin1
BIN3	Bin3
BIRC2	Birc2
BIRC3	Birc3
BIRC5	Birc5
BIRC6	Birc6
BIRC7	Birc7
BIVM	Bivm
BLK	Blk
BLM	Blm
BLMH	Blmh
BLNK	Blnk
BLOC1S1	Bloc1s1
BLOC1S3	Bloc1s3
BLVRA	Blvra
BLVRB	Blvrb
BLZF1	Blzf1
BMF	Bmf
BMI1	Bmi1
BMP1	Bmp1
BMP10	Bmp10
BMP15	Bmp15
BMP2	Bmp2
BMP3	Bmp3
BMP4	Bmp4
BMP5	Bmp5
BMP6	Bmp6
BMP7	Bmp7
BMPER	Bmper
BMPR1A	Bmpr1a
BMPR1B	Bmpr1b
BMPR2	Bmpr2
BMX	Bmx
BNC1	Bnc1
BNC2	Bnc2
BNIP1	Bnip1
BNIP2	Bnip2
BNIP3L	Bnip3l
BNIPL	Bnipl
BOC	Boc
BOD1	Bod1
BOK	Bok
BOLA1	Bola1
BOLA3	Bola3
BOLL	Boll
BPGM	Bpgm
BPHL	Bphl
BPI	Bpi
BPNT1	Bpnt1
BPTF	Bptf
BRAF	Braf
BRAP	Brap
BRCA1	Brca1
BRCA2	Brca2
BRCC3	Brcc3
BRD1	Brd1
BRD2	Brd2
BRD3	Brd3
BRD4	Brd4
BRD7	Brd7
BRD9	Brd9
BRDT	Brdt
BRE	Bre
BRF1	Brf1
BRF2	Brf2
BRI3	Bri3
BRI3BP	Bri3bp
BRIP1	Brip1
BRIX1	Brix1
BRMS1	Brms1
BRMS1L	Brms1l
BRPF1	Brpf1
BRPF3	Brpf3
BRS3	Brs3
BRSK1	Brsk1
BRSK2	Brsk2
BRWD1	Brwd1
BRWD3	Brwd3
BSCL2	Bscl2
BSDC1	Bsdc1
BSG	Bsg
BSN	Bsn
BSND	Bsnd
BSPH1	Bsph1
BSPRY	Bspry
BST1	Bst1
BST2	Bst2
BSX	Bsx
BTAF1	Btaf1
BTBD1	Btbd1
BTBD10	Btbd10
BTBD11	Btbd11
BTBD16	Btbd16
BTBD17	Btbd17
BTBD2	Btbd2
BTBD3	Btbd3
BTBD6	Btbd6
BTBD7	Btbd7
BTBD9	Btbd9
BTC	Btc
BTD	Btd
BTF3	Btf3
BTF3L4	Btf3l4
BTG2	Btg2
BTG4	Btg4
BTK	Btk
BTLA	Btla
BTN1A1	Btn1a1
BTNL2	Btnl2
BTNL9	Btnl9
BTRC	Btrc
BUB1	Bub1
BUB1B	Bub1b
BUB3	Bub3
BUD13	Bud13
BUD31	Bud31
BVES	Bves
BYSL	Bysl
BZRAP1	Bzrap1
BZW1	Bzw1
BZW2	Bzw2
C10orf10	8430408G22Rik
C10orf107	1700040L02Rik
C10orf11	1700112E06Rik
C10orf118	A630007B06Rik
C10orf120	4933402N03Rik
C10orf128	1810011H11Rik
C10orf137	2700050L05Rik
C10orf18	BC016423
C10orf2	Peo1
C10orf32	2010012O05Rik
C10orf35	2010107G23Rik
C10orf53	1700024G13Rik
C10orf54	4632428N05Rik
C10orf62	4933411K16Rik
C10orf67	4921504E06Rik
C10orf71	3425401B19Rik
C10orf76	9130011E15Rik
C10orf82	1700019N19Rik
C10orf88	2310057M21Rik
C10orf90	D7Ertd443e
C11orf1	1110032A03Rik
C11orf16	BC051019
C11orf24	1810055G02Rik
C11orf30	2210018M11Rik
C11orf31	2700094K13Rik
C11orf34	1600029D21Rik
C11orf35	1600016N20Rik
C11orf42	Gm5901
C11orf49	1110051M20Rik
C11orf53	1810046K07Rik
C11orf54	4931406C07Rik
C11orf57	AU019823
C11orf58	1110004F10Rik
C11orf63	4931429I11Rik
C11orf65	4930550C14Rik
C11orf68	AI837181
C11orf70	9230110C19Rik
C11orf71	Gm5617
C11orf73	l7Rn6
C11orf74	B230118H07Rik
C11orf82	4632434I11Rik
C11orf83	AI462493
C11orf84	AI846148
C11orf85	1700123I01Rik
C11orf86	2010003K11Rik
C11orf87	AI593442
C11orf88	4833427G06Rik
C11orf91	A930018P22Rik
C11orf93	Gm684
C11orf94	1700029I15Rik
C11orf95	2700081O15Rik
C12orf10	Myg1
C12orf23	AI597468
C12orf28	Gm239
C12orf29	4930430F08Rik
C12orf4	D6Wsu163e
C12orf42	1700113H08Rik
C12orf43	2210016L21Rik
C12orf44	9430023L20Rik
C12orf45	D10Wsu102e
C12orf49	2410131K14Rik
C12orf5	9630033F20Rik
C12orf50	1700017N19Rik
C12orf52	1110008J03Rik
C12orf56	D930020B18Rik
C12orf57	Grcc10
C12orf60	BC049715
C12orf65	2810006K23Rik
C12orf66	BC048403
C12orf68	AI836003
C12orf71	1700034J05Rik
C12orf73	1190007I07Rik
C14orf1	0610007P14Rik
C14orf105	1700011H14Rik
C14orf119	1700123O20Rik
C14orf142	Moap1
C14orf159	9030617O03Rik
C14orf166	2700060E02Rik
C14orf166B	Gm6772
C14orf169	2410016O06Rik
C14orf180	A530016L24Rik
C14orf2	2010107E04Rik
C14orf28	Gm527
C14orf37	3632451O06Rik
C14orf39	4930447C04Rik
C14orf79	BC022687
C14orf80	4930427A07Rik
C14orf93	4931414P19Rik
C15orf26	1700026D08Rik
C15orf27	AI118078
C15orf39	1700017B05Rik
C15orf40	3110040N11Rik
C15orf41	BC052040
C15orf43	4933406J08Rik
C15orf48	AA467197
C15orf52	A430105I19Rik
C15orf57	Ccdc32
C15orf59	6030419C18Rik
C15orf60	2410076I21Rik
C15orf61	2300009A05Rik
C15orf62	Gm14137
C16orf11	Nhlrc4
C16orf13	0610011F06Rik
C16orf45	2900011O08Rik
C16orf46	1700030J22Rik
C16orf54	AI467606
C16orf55	4732415M23Rik
C16orf58	BC017158
C16orf59	1600002H07Rik
C16orf62	9030624J02Rik
C16orf70	D230025D16Rik
C16orf72	1810013L24Rik
C16orf74	1190005I06Rik
C16orf78	4933402J07Rik
C16orf80	Gtl3
C16orf86	4933405L10Rik
C16orf87	4921524J17Rik
C16orf89	AU021092
C16orf90	1700037C18Rik
C16orf92	4930451I11Rik
C16orf93	Gm166
C17orf104	Gm1564
C17orf105	1700006E09Rik
C17orf50	1700020L24Rik
C17orf53	BC030867
C17orf59	2310047M10Rik
C17orf62	BC017643
C17orf64	1700125H20Rik
C17orf66	Gm11435
C17orf67	Gm525
C17orf70	2310003H01Rik
C17orf72	2310007L24Rik
C17orf74	4933402P03Rik
C17orf75	5730455P16Rik
C17orf78	Gm11437
C17orf80	D11Wsu47e
C17orf85	1200014J11Rik
C17orf89	1810043H04Rik
C17orf96	E130012A19Rik
C17orf97	1700016K19Rik
C17orf98	1700001P01Rik
C17orf99	6030468B19Rik
C18orf25	8030462N17Rik
C18orf32	BC031181
C18orf54	4930503L19Rik
C18orf8	3110002H16Rik
C19orf10	D17Wsu104e
C19orf12	1600014C10Rik
C19orf18	2900092C05Rik
C19orf24	1600002K03Rik
C19orf25	2310011J03Rik
C19orf26	Dos
C19orf33	2200002D01Rik
C19orf38	AB124611
C19orf40	C230052I12Rik
C19orf43	2310036O22Rik
C19orf44	1700030K09Rik
C19orf45	1700019B03Rik
C19orf47	2310022A10Rik
C19orf52	1810026J23Rik
C19orf53	D8Ertd738e
C19orf54	BC024978
C19orf55	BC053749
C19orf57	4930432K21Rik
C19orf59	1810033B17Rik
C19orf60	2810428I15Rik
C19orf66	A230050P20Rik
C19orf67	1700067K01Rik
C19orf68	6330408A02Rik
C19orf69	Gm7092
C19orf70	2410015M20Rik
C19orf71	4930404N11Rik
C19orf77	2210404O07Rik
C1D	C1d
C1GALT1	C1galt1
C1GALT1C1	C1galt1c1
C1QA	C1qa
C1QB	C1qb
C1QBP	C1qbp
C1QC	C1qc
C1QL1	C1ql1
C1QL2	C1ql2
C1QL3	C1ql3
C1QL4	C1ql4
C1QTNF1	C1qtnf1
C1QTNF2	C1qtnf2
C1QTNF3	C1qtnf3
C1QTNF4	C1qtnf4
C1QTNF6	C1qtnf6
C1QTNF7	C1qtnf7
C1RL	C1rl
C1orf100	1700016C15Rik
C1orf101	Gm16432
C1orf106	5730559C18Rik
C1orf110	1700084C01Rik
C1orf111	1700015E13Rik
C1orf112	BC055324
C1orf115	C130074G19Rik
C1orf116	AA986860
C1orf122	1110065P20Rik
C1orf123	0610037L13Rik
C1orf127	Gm572
C1orf131	2810004N23Rik
C1orf141	4921539E11Rik
C1orf146	1700028K03Rik
C1orf158	1700012P22Rik
C1orf159	9430015G10Rik
C1orf162	I830077J02Rik
C1orf168	1700024P16Rik
C1orf170	2310042D19Rik
C1orf172	1810019J16Rik
C1orf173	4922501L14Rik
C1orf174	A430005L14Rik
C1orf177	BC055111
C1orf185	4930522H14Rik
C1orf189	1700094D03Rik
C1orf192	1700009P17Rik
C1orf194	1700013F07Rik
C1orf198	2310022B05Rik
C1orf21	1700025G04Rik
C1orf210	2610528J11Rik
C1orf216	5730409E04Rik
C1orf226	Gm7694
C1orf227	1700022P22Rik
C1orf228	Gm1661
C1orf27	BC003331
C1orf35	2310033P09Rik
C1orf43	4933434E20Rik
C1orf50	AU022252
C1orf51	Gm129
C1orf52	2410004B18Rik
C1orf53	2310009B15Rik
C1orf54	BC028528
C1orf56	Gm128
C1orf63	D4Wsu53e
C1orf64	Gm694
C1orf65	4922505E12Rik
C1orf74	A130010J15Rik
C1orf85	0610031J06Rik
C1orf86	2610002J02Rik
C1orf87	Gm12695
C1orf94	CK137956
C1orf95	6330403A02Rik
C2	C2
C20orf112	8430427H17Rik
C20orf141	1700020A23Rik
C20orf144	1700003F12Rik
C20orf194	4930402H24Rik
C20orf195	BC051628
C20orf196	1110034G24Rik
C20orf201	4930526D03Rik
C20orf24	1110008F13Rik
C20orf26	4930529M08Rik
C20orf85	1700021F07Rik
C20orf96	6820408C15Rik
C21orf2	1810043G02Rik
C21orf58	2610028H24Rik
C21orf59	1110004E09Rik
C21orf62	4932438H23Rik
C21orf91	D16Ertd472e
C22orf23	1700088E04Rik
C22orf39	2510002D24Rik
C2CD2	C2cd2
C2CD2L	C2cd2l
C2CD3	C2cd3
C2CD4C	C2cd4c
C2CD4D	C2cd4d
C2orf40	1500015O10Rik
C2orf42	C87436
C2orf43	1110057K04Rik
C2orf44	BC068281
C2orf47	9430016H08Rik
C2orf49	AI597479
C2orf50	2410004P03Rik
C2orf53	1700110M21Rik
C2orf54	2310007B03Rik
C2orf61	1700011E24Rik
C2orf62	Gm216
C2orf68	0610030E20Rik
C2orf69	1700066M21Rik
C2orf70	1700001C02Rik
C2orf71	BC027072
C2orf72	2810459M11Rik
C2orf73	4930505A04Rik
C2orf74	1700093K21Rik
C2orf76	3110009E18Rik
C2orf80	D630023F18Rik
C2orf81	1700003E16Rik
C2orf82	3110079O15Rik
C2orf88	1700019D03Rik
C3	C3
C3AR1	C3ar1
C3orf14	3830406C13Rik
C3orf17	BC027231
C3orf20	4930590J08Rik
C3orf22	BC048671
C3orf33	E130311K13Rik
C3orf37	8430410A17Rik
C3orf38	4930453N24Rik
C3orf43	2310010M20Rik
C3orf52	BC016579
C3orf58	1190002N15Rik
C3orf62	1700102P08Rik
C3orf67	4930452B06Rik
C3orf70	2510009E07Rik
C4BPA	Zp3r
C4orf17	4930579F01Rik
C4orf19	0610040J01Rik
C4orf22	1700007G11Rik
C4orf27	2700029M09Rik
C4orf29	3110057O12Rik
C4orf3	1810037I17Rik
C4orf32	5730508B09Rik
C4orf33	D3Ertd751e
C4orf36	1700016H13Rik
C4orf40	4930432K09Rik
C4orf46	4930579G24Rik
C4orf47	1700029J07Rik
C4orf48	Gm1673
C4orf51	1700011L22Rik
C5	Hc
C5AR1	C5ar1
C5orf15	9530068E07Rik
C5orf22	6030458C11Rik
C5orf24	B230219D22Rik
C5orf25	4732471D19Rik
C5orf28	Gm7120
C5orf30	D1Ertd622e
C5orf34	4833420G17Rik
C5orf45	3010026O09Rik
C5orf46	Gm94
C5orf47	4930524B15Rik
C5orf48	1700065I17Rik
C5orf49	1700001L19Rik
C5orf51	AW549877
C5orf52	4921536K21Rik
C6	C6
C6orf10	BC051142
C6orf106	D17Wsu92e
C6orf118	1700010I14Rik
C6orf120	1600012H06Rik
C6orf132	AI661453
C6orf136	2310061I04Rik
C6orf141	9130008F23Rik
C6orf15	2300002M23Rik
C6orf163	Gm136
C6orf165	1700003M02Rik
C6orf170	D630037F22Rik
C6orf201	4933417A18Rik
C6orf203	1700021F05Rik
C6orf211	1700052N19Rik
C6orf222	4930539E08Rik
C6orf226	2310039H08Rik
C6orf25	AU023871
C6orf47	D17H6S53E
C6orf57	1110058L19Rik
C6orf58	2310057J18Rik
C6orf62	BC005537
C6orf89	BC004004
C7orf10	5033411D12Rik
C7orf25	AW209491
C7orf26	E130309D02Rik
C7orf31	4921507P07Rik
C7orf34	1700034O15Rik
C7orf49	3110062M04Rik
C7orf50	3110082I17Rik
C7orf55	1110001J03Rik
C7orf57	Gm11992
C7orf60	B630005N14Rik
C7orf62	4921511H03Rik
C7orf63	A330021E22Rik
C8A	C8a
C8B	C8b
C8G	C8g
C8orf33	1110038F14Rik
C8orf34	A830018L16Rik
C8orf37	2610301B20Rik
C8orf4	1810011O10Rik
C8orf42	2610019F03Rik
C8orf46	3110035E14Rik
C8orf47	BC030476
C8orf48	AI429214
C8orf74	4930578I06Rik
C8orf76	9130401M01Rik
C8orf82	C030006K11Rik
C9	C9
C9orf102	0610007P08Rik
C9orf114	D2Wsu81e
C9orf116	1700007K13Rik
C9orf117	1700019L03Rik
C9orf123	3110001D03Rik
C9orf131	1700022I11Rik
C9orf135	1700028P14Rik
C9orf142	BC029214
C9orf152	D630039A03Rik
C9orf153	4921517D22Rik
C9orf156	5830415F09Rik
C9orf16	1110008P14Rik
C9orf169	2310002J15Rik
C9orf171	1700101E01Rik
C9orf172	Gm996
C9orf173	4933433C11Rik
C9orf24	1110017D15Rik
C9orf3	2010111I01Rik
C9orf40	D030056L22Rik
C9orf41	2410127L17Rik
C9orf43	4933430I17Rik
C9orf50	1700001O22Rik
C9orf64	2210016F16Rik
C9orf72	3110043O21Rik
C9orf78	BC005624
C9orf84	AI481877
C9orf85	1110059E24Rik
C9orf89	1110007C09Rik
C9orf9	1700026L06Rik
C9orf91	6330416G13Rik
C9orf96	Gm711
CA1	Car1
CA11	Car11
CA12	Car12
CA13	Car13
CA14	Car14
CA2	Car2
CA3	Car3
CA4	Car4
CA5B	Car5b
CA6	Car6
CA7	Car7
CA8	Car8
CA9	Car9
CAB39	Cab39
CAB39L	Cab39l
CABIN1	Cabin1
CABLES1	Cables1
CABP1	Cabp1
CABP2	Cabp2
CABP4	Cabp4
CABP5	Cabp5
CABP7	Cabp7
CABYR	Cabyr
CACHD1	Cachd1
CACNA1A	Cacna1a
CACNA1C	Cacna1c
CACNA1D	Cacna1d
CACNA1E	Cacna1e
CACNA1F	Cacna1f
CACNA1G	Cacna1g
CACNA1H	Cacna1h
CACNA1I	Cacna1i
CACNA1S	Cacna1s
CACNA2D1	Cacna2d1
CACNA2D2	Cacna2d2
CACNA2D3	Cacna2d3
CACNA2D4	Cacna2d4
CACNB1	Cacnb1
CACNB2	Cacnb2
CACNB3	Cacnb3
CACNB4	Cacnb4
CACNG1	Cacng1
CACNG2	Cacng2
CACNG3	Cacng3
CACNG4	Cacng4
CACNG5	Cacng5
CACNG6	Cacng6
CACNG7	Cacng7
CACNG8	Cacng8
CACYBP	Cacybp
CAD	Cad
CADM1	Cadm1
CADM2	Cadm2
CADM3	Cadm3
CADM4	Cadm4
CADPS	Cadps
CADPS2	Cadps2
CAGE1	Cage1
CALB1	Calb1
CALB2	Calb2
CALCA	Calcb
CALCB	Calca
CALCOCO1	Calcoco1
CALCR	Calcr
CALCRL	Calcrl
CALD1	Cald1
CALHM1	Calhm1
CALHM2	Calhm2
CALM2	Calm3
CALML3	Calml3
CALML4	Calml4
CALML5	Calm4
CALN1	Caln1
CALR	Calr
CALR3	Calr3
CALU	Calu
CALY	Caly
CAMK1	Camk1
CAMK1D	Camk1d
CAMK1G	Camk1g
CAMK2A	Camk2a
CAMK2B	Camk2b
CAMK2D	Camk2d
CAMK2G	Camk2g
CAMK2N1	Camk2n1
CAMK2N2	Camk2n2
CAMK4	Camk4
CAMKK1	Camkk1
CAMKK2	Camkk2
CAMKV	Camkv
CAMLG	Caml
CAMSAP1	Camsap1
CAMTA1	Camta1
CAMTA2	Camta2
CAND1	Cand1
CAND2	Cand2
CANT1	Cant1
CANX	Canx
CAP1	Cap1
CAP2	Cap2
CAPG	Capg
CAPN1	Capn1
CAPN10	Capn10
CAPN11	Capn11
CAPN12	Capn12
CAPN13	Capn13
CAPN2	Capn2
CAPN3	Capn3
CAPN5	Capn5
CAPN6	Capn6
CAPN7	Capn7
CAPN9	Capn9
CAPRIN1	Caprin1
CAPRIN2	Caprin2
CAPS2	Caps2
CAPSL	Capsl
CAPZA2	Capza2
CAPZA3	Capza3
CAPZB	Capzb
CARD10	Card10
CARD11	Card11
CARD14	Card14
CARD6	Card6
CARD9	Card9
CARHSP1	Carhsp1
CARKD	Carkd
CARM1	Carm1
CARNS1	Carns1
CARS	Cars
CARS2	Cars2
CARTPT	Cartpt
CASC1	Casc1
CASC3	Casc3
CASC4	Casc4
CASC5	Casc5
CASD1	Casd1
CASK	Cask
CASKIN1	Caskin1
CASKIN2	Caskin2
CASP1	Casp1
CASP12	Casp12
CASP14	Casp14
CASP2	Casp2
CASP3	Casp3
CASP6	Casp6
CASP7	Casp7
CASP8	Casp8
CASP8AP2	Casp8ap2
CASP9	Casp9
CASQ1	Casq1
CASQ2	Casq2
CASR	Casr
CASS4	Cass4
CAST	Cast
CASZ1	Casz1
CAT	Cat
CATSPER1	Catsper1
CATSPER2	Catsper2
CATSPER3	Catsper3
CATSPER4	Catsper4
CATSPERB	Catsperb
CAV1	Cav1
CAV2	Cav2
CAV3	Cav3
CBFA2T2	Cbfa2t2
CBFA2T3	Cbfa2t3
CBFB	Cbfb
CBL	Cbl
CBLB	Cblb
CBLC	Cblc
CBLN1	Cbln1
CBLN2	Cbln2
CBLN3	Cbln3
CBLN4	Cbln4
CBR1	Cbr1
CBR3	Cbr3
CBR4	Cbr4
CBS	Cbs
CBX1	Cbx1
CBX2	Cbx2
CBX4	Cbx4
CBX5	Cbx5
CBX6	Cbx6
CBX7	Cbx7
CBX8	Cbx8
CBY1	Cby1
CBY3	Cby3
CC2D1A	Cc2d1a
CC2D1B	Cc2d1b
CC2D2A	Cc2d2a
CCAR1	Ccar1
CCBE1	Ccbe1
CCBL1	Ccbl1
CCBL2	Ccbl2
CCBP2	Ccbp2
CCDC101	Ccdc101
CCDC102A	Ccdc102a
CCDC103	Ccdc103
CCDC104	Ccdc104
CCDC105	Ccdc105
CCDC106	Ccdc106
CCDC107	Ccdc107
CCDC108	Ccdc108
CCDC109B	Ccdc109b
CCDC11	Ccdc11
CCDC110	Ccdc110
CCDC111	Ccdc111
CCDC112	Ccdc112
CCDC113	Ccdc113
CCDC114	Ccdc114
CCDC115	Ccdc115
CCDC116	Ccdc116
CCDC117	Ccdc117
CCDC12	Ccdc12
CCDC120	Ccdc120
CCDC122	Ccdc122
CCDC124	Ccdc124
CCDC125	Ccdc125
CCDC126	Ccdc126
CCDC127	Ccdc127
CCDC129	Ccdc129
CCDC13	Ccdc13
CCDC130	Ccdc130
CCDC132	Ccdc132
CCDC134	Ccdc134
CCDC135	Ccdc135
CCDC136	Ccdc136
CCDC137	Ccdc137
CCDC138	Ccdc138
CCDC14	Ccdc14
CCDC141	Ccdc141
CCDC142	Ccdc142
CCDC146	Ccdc146
CCDC147	Ccdc147
CCDC148	Ccdc148
CCDC15	Ccdc15
CCDC150	Ccdc150
CCDC151	Ccdc151
CCDC154	Ccdc154
CCDC155	Ccdc155
CCDC157	Ccdc157
CCDC158	Ccdc158
CCDC159	Ccdc159
CCDC160	Ccdc160
CCDC163P	Ccdc163
CCDC17	Ccdc17
CCDC18	Ccdc18
CCDC19	Ccdc19
CCDC22	Ccdc22
CCDC23	Ccdc23
CCDC24	Ccdc24
CCDC25	Ccdc25
CCDC27	Ccdc27
CCDC28A	Ccdc28a
CCDC28B	Ccdc28b
CCDC3	Ccdc3
CCDC30	Ccdc30
CCDC33	Ccdc33
CCDC34	Ccdc34
CCDC36	Ccdc36
CCDC37	Ccdc37
CCDC38	Ccdc38
CCDC39	Ccdc39
CCDC40	Ccdc40
CCDC41	Ccdc41
CCDC43	Ccdc43
CCDC47	Ccdc47
CCDC50	Ccdc50
CCDC51	Ccdc51
CCDC53	Ccdc53
CCDC54	Ccdc54
CCDC57	Ccdc57
CCDC58	Ccdc58
CCDC59	Ccdc59
CCDC6	Ccdc6
CCDC60	Ccdc60
CCDC61	Ccdc61
CCDC62	Ccdc62
CCDC63	Ccdc63
CCDC64	Ccdc64
CCDC64B	Ccdc64b
CCDC65	Ccdc65
CCDC66	Ccdc66
CCDC67	Ccdc67
CCDC68	Ccdc68
CCDC69	Ccdc69
CCDC71	Ccdc71
CCDC73	Ccdc73
CCDC77	Ccdc77
CCDC78	Ccdc78
CCDC8	Ccdc8
CCDC80	Ccdc80
CCDC81	Ccdc81
CCDC82	Ccdc82
CCDC83	Ccdc83
CCDC84	Ccdc84
CCDC85A	Ccdc85a
CCDC85B	Ccdc85b
CCDC85C	Ccdc85c
CCDC86	Ccdc86
CCDC87	Ccdc87
CCDC88A	Ccdc88a
CCDC88B	Ccdc88b
CCDC88C	Ccdc88c
CCDC89	Ccdc89
CCDC9	Ccdc9
CCDC90B	Ccdc90b
CCDC91	Ccdc91
CCDC93	Ccdc93
CCDC94	Ccdc94
CCDC96	Ccdc96
CCDC97	Ccdc97
CCHCR1	Cchcr1
CCIN	Ccin
CCK	Cck
CCKAR	Cckar
CCKBR	Cckbr
CCL1	Ccl1
CCL13	Ccl2
CCL16	Ccl11
CCL17	Ccl17
CCL20	Ccl20
CCL22	Ccl22
CCL24	Ccl24
CCL25	Ccl25
CCL26	Ccl26
CCL28	Ccl28
CCL5	Ccl5
CCM2	Ccm2
CCNA1	Ccna1
CCNA2	Ccna2
CCNB1	Ccnb1
CCNB1IP1	Ccnb1ip1
CCNB2	Ccnb2
CCNB3	Ccnb3
CCNC	Ccnc
CCND1	Ccnd1
CCND2	Ccnd2
CCND3	Ccnd3
CCNDBP1	Ccndbp1
CCNE1	Ccne1
CCNE2	Ccne2
CCNF	Ccnf
CCNG1	Ccng1
CCNG2	Ccng2
CCNH	Ccnh
CCNI	Ccni
CCNJ	Ccnj
CCNJL	Ccnjl
CCNK	Ccnk
CCNL1	Ccnl1
CCNL2	Ccnl2
CCNO	Ccno
CCNT1	Ccnt1
CCNT2	Ccnt2
CCNY	Ccny
CCPG1	Ccpg1
CCR10	Ccr10
CCR2	Ccr2
CCR3	Ccr3
CCR4	Ccr4
CCR5	Ccr5
CCR6	Ccr6
CCR7	Ccr7
CCR8	Ccr8
CCR9	Ccr9
CCRL1	Ccrl1
CCRL2	Ccrl2
CCRN4L	Ccrn4l
CCS	Ccs
CCT2	Cct2
CCT3	Cct3
CCT4	Cct4
CCT5	Cct5
CCT6A	Cct6a
CCT6B	Cct6b
CCT7	Cct7
CCT8	Cct8
CCT8L2	Cct8l1
CD101	Cd101
CD109	Cd109
CD14	Cd14
CD151	Cd151
CD160	Cd160
CD163	Cd163
CD164	Cd164
CD164L2	Cd164l2
CD180	Cd180
CD19	Cd19
CD2	Cd2
CD200	Cd200
CD207	Cd207
CD22	Cd22
CD226	Cd226
CD244	Cd244
CD247	Cd247
CD248	Cd248
CD27	Cd27
CD274	Cd274
CD276	Cd276
CD28	Cd28
CD2AP	Cd2ap
CD2BP2	Cd2bp2
CD300E	Cd300e
CD300LB	Cd300lb
CD300LG	Cd300lg
CD302	Cd302
CD320	Cd320
CD34	Cd34
CD36	Cd36
CD37	Cd37
CD38	Cd38
CD3D	Cd3d
CD3E	Cd3e
CD3EAP	Cd3eap
CD3G	Cd3g
CD4	Cd4
CD40	Cd40
CD40LG	Cd40lg
CD44	Cd44
CD46	Cd46
CD47	Cd47
CD48	Cd48
CD5	Cd5
CD53	Cd53
CD5L	Cd5l
CD6	Cd6
CD63	Cd63
CD68	Cd68
CD69	Cd69
CD7	Cd7
CD70	Cd70
CD72	Cd72
CD74	Cd74
CD79A	Cd79a
CD79B	Cd79b
CD80	Cd80
CD81	Cd81
CD82	Cd82
CD83	Cd83
CD84	Cd84
CD86	Cd86
CD8A	Cd8a
CD8B	Cd8b1
CD9	Cd9
CD93	Cd93
CD96	Cd96
CD97	Cd97
CDA	Cda
CDADC1	Cdadc1
CDAN1	Cdan1
CDC123	Cdc123
CDC14A	Cdc14a
CDC14B	Cdc14b
CDC16	Cdc16
CDC20	Cdc20
CDC23	Cdc23
CDC25A	Cdc25a
CDC25B	Cdc25b
CDC25C	Cdc25c
CDC26	Cdc26
CDC27	Cdc27
CDC37L1	Cdc37l1
CDC40	Cdc40
CDC42	Cdc42
CDC42BPA	Cdc42bpa
CDC42BPB	Cdc42bpb
CDC42BPG	Cdc42bpg
CDC42EP1	Cdc42ep1
CDC42EP2	Cdc42ep2
CDC42EP3	Cdc42ep3
CDC42EP4	Cdc42ep4
CDC42EP5	Cdc42ep5
CDC42SE1	Cdc42se1
CDC42SE2	Cdc42se2
CDC45	Cdc45
CDC6	Cdc6
CDC7	Cdc7
CDC73	Cdc73
CDCA2	Cdca2
CDCA3	Cdca3
CDCA4	Cdca4
CDCA5	Cdca5
CDCA7	Cdca7
CDCA7L	Cdca7l
CDCA8	Cdca8
CDCP1	Cdcp1
CDCP2	Cdcp2
CDH1	Cdh1
CDH10	Cdh10
CDH11	Cdh11
CDH12	Cdh12
CDH13	Cdh13
CDH15	Cdh15
CDH16	Cdh16
CDH17	Cdh17
CDH18	Cdh18
CDH19	Cdh19
CDH2	Cdh2
CDH20	Cdh20
CDH22	Cdh22
CDH24	Cdh24
CDH26	Cdh26
CDH3	Cdh3
